GlobalEventID,SQLDATE,MonthYear,Year,Actor1Code,Actor1Name,Actor1CountryCode,Actor2Code,Actor2Name,Actor2CountryCode,EventCode,GoldsteinScale,NumMentions,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor2Geo_Lat,Actor2Geo_Long,ActionGeo_Lat,ActionGeo_Long,ActionGeo_CountryCode,ActionGeo_FullName,SOURCEURL
1151609399,20240108,202401,2024,KOR,SOUTH KOREA,KOR,RUS,RUSSIA,RUS,051,3.4,412,412,-1.8342192878784,37.5664,127,60,100,37.5664,127,KS,"Seoul, Soul-t'ukpyolsi, South Korea",https://www.clickondetroit.com/news/world/2024/01/14/north-korea-says-it-tested-solid-fuel-missile-tipped-with-hypersonic-weapon/
1151609400,20240108,202401,2024,MNCUSA,BOEING,USA,USABUS,ALASKA,USA,100,-5.0,210,210,0.185601047094113,61.385,-152.268,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://coast1009.com/us-news/after-alaska-airlines-scare-experts-and-a-parent-weigh-in-on-babies-in-laps-mid-flight/
1151609404,20240108,202401,2024,USABUS,UNITED STATES,USA,USA,ALASKA,USA,100,-5.0,140,140,0.185601047094113,61.385,-152.268,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://coast1009.com/us-news/after-alaska-airlines-scare-experts-and-a-parent-weigh-in-on-babies-in-laps-mid-flight/
1151609435,20240115,202401,2024,,,,CAN,CANADA,CAN,043,2.8,31,27,0.885272139578226,,,60,-96,60,-96,CA,Canada,https://www.saultthisweek.com:443/news/sonny-spina-open-to-considering-third-run-for-mp
1151609509,20240115,202401,2024,,,,ISL,ICELAND,ISL,042,1.9,10,10,-7.14285714285715,,,63.8086,-22.6944,63.8086,-22.6944,IC,"Reykjanes Peninsula, Suðes, Iceland",https://www.bbc.com/news/world-europe-67977591
1151609510,20240115,202401,2024,,,,ISL,ICELAND,ISL,042,1.9,27,27,-5.79399903405453,,,63.9167,-22.25,63.9167,-22.25,IC,"Reykjanes, Suðes, Iceland",https://www.bbc.co.uk/news/world-europe-67977591
1151609586,20240115,202401,2024,,,,USA,ALASKA,USA,014,0.0,72,72,0.193325421236742,,,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://coast1009.com/us-news/after-alaska-airlines-scare-experts-and-a-parent-weigh-in-on-babies-in-laps-mid-flight/
1151609617,20240115,202401,2024,,,,USA,UNITED STATES,USA,110,-2.0,91,91,-0.175795421359151,,,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://coast1009.com/us-news/after-alaska-airlines-scare-experts-and-a-parent-weigh-in-on-babies-in-laps-mid-flight/
1151609629,20240115,202401,2024,,,,USABUS,ALASKA,USA,014,0.0,216,216,0.193325421236742,,,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://coast1009.com/us-news/after-alaska-airlines-scare-experts-and-a-parent-weigh-in-on-babies-in-laps-mid-flight/
1151609751,20240115,202401,2024,CAN,CANADA,CAN,,,,014,0.0,13,13,-0.14654067308516,60,-96,,,60,-96,CA,Canada,https://www.saultthisweek.com:443/news/sonny-spina-open-to-considering-third-run-for-mp
1151609752,20240115,202401,2024,CAN,CANADA,CAN,,,,042,1.9,55,51,-0.212433235703026,60,-96,,,60,-96,CA,Canada,https://www.saultthisweek.com:443/news/sonny-spina-open-to-considering-third-run-for-mp
1151609754,20240115,202401,2024,CAN,CANADA,CAN,,,,051,3.4,116,114,-0.898932203670955,60,-96,,,60,-96,CA,Canada,https://www.saultthisweek.com:443/news/sonny-spina-open-to-considering-third-run-for-mp
1151609764,20240115,202401,2024,CAN,CANADA,CAN,GBR,UNITED KINGDOM,GBR,031,5.2,6,6,0.15671251958907,60,-96,54,-4,54,-4,UK,United Kingdom,https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151609767,20240115,202401,2024,CAN,CANADA,CAN,POL,POLAND,POL,031,5.2,2,2,0.15671251958907,50.0372,22.0049,60,-96,54,-4,UK,United Kingdom,https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151609768,20240115,202401,2024,CAN,CANADA,CAN,POL,POLAND,POL,031,5.2,6,6,0.15671251958907,60,-96,50.0372,22.0049,54,-4,UK,United Kingdom,https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151609773,20240115,202401,2024,CAN,CANADA,CAN,USA,THE US,USA,031,5.2,6,6,0.15671251958907,60,-96,54,-4,54,-4,UK,United Kingdom,https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151609947,20240115,202401,2024,CVL,TRAVELLER,,ISL,ICELAND,ISL,020,3.0,2,2,-3.52112676056338,59.3333,18.05,63.8424,-22.4338,59.3333,18.05,SW,"Stockholm, Stockholm, Sweden",https://www.nzherald.co.nz/travel/is-it-safe-to-travel-to-iceland-latest-advice-following-second-eruption/UJZNCG63BFBFBCBOFCAPHTWAJM/
1151609948,20240115,202401,2024,CVL,TRAVELLER,,ISL,ICELAND,ISL,020,3.0,8,8,-3.52112676056338,59.3333,18.05,63.8424,-22.4338,63.8424,-22.4338,IC,"Grindavik, Suðes, Iceland",https://www.nzherald.co.nz/travel/is-it-safe-to-travel-to-iceland-latest-advice-following-second-eruption/UJZNCG63BFBFBCBOFCAPHTWAJM/
1151610110,20240115,202401,2024,FIN,FINNISH,FIN,UKR,UKRAINIAN,UKR,010,0.0,2,2,0.15671251958907,64,26,50.4333,30.5167,50.4333,30.5167,UP,"Kyiv, Kyyiv, Misto, Ukraine",https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151610112,20240115,202401,2024,FINMED,FINNISH,FIN,UKR,UKRAINIAN,UKR,010,0.0,4,4,0.15671251958907,64,26,50.4333,30.5167,50.4333,30.5167,UP,"Kyiv, Kyyiv, Misto, Ukraine",https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151610146,20240115,202401,2024,GBR,UNITED KINGDOM,GBR,CAN,CANADA,CAN,031,5.2,6,6,0.15671251958907,54,-4,60,-96,54,-4,UK,United Kingdom,https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151610333,20240115,202401,2024,HLH,CAREGIVER,,USA,UNITED STATES,USA,043,2.8,144,144,0.193325421236742,61.385,-152.268,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://coast1009.com/us-news/after-alaska-airlines-scare-experts-and-a-parent-weigh-in-on-babies-in-laps-mid-flight/
1151610377,20240115,202401,2024,ISL,ICELAND,ISL,,,,036,4.0,30,30,-4.72586368199575,64.0016,-22.5607,,,64.0016,-22.5607,IC,"Keflavik, Suðes, Iceland",https://www.nzherald.co.nz/travel/is-it-safe-to-travel-to-iceland-latest-advice-following-second-eruption/UJZNCG63BFBFBCBOFCAPHTWAJM/
1151610378,20240115,202401,2024,ISL,ICELAND,ISL,,,,043,2.8,10,10,-7.14285714285715,63.8086,-22.6944,,,63.8086,-22.6944,IC,"Reykjanes Peninsula, Suðes, Iceland",https://www.bbc.com/news/world-europe-67977591
1151610379,20240115,202401,2024,ISL,ICELAND,ISL,,,,043,2.8,26,26,-5.96134177776614,63.9167,-22.25,,,63.9167,-22.25,IC,"Reykjanes, Suðes, Iceland",https://www.bbc.co.uk/news/world-europe-67977591
1151610380,20240115,202401,2024,ISL,ICELAND,ISL,,,,180,-9.0,5,5,-7.14285714285715,63.8086,-22.6944,,,63.8086,-22.6944,IC,"Reykjanes Peninsula, Suðes, Iceland",https://www.bbc.com/news/world-europe-67977591
1151610381,20240115,202401,2024,ISLCVL,ICELAND,ISL,,,,010,0.0,8,8,-3.52112676056338,63.8424,-22.4338,,,63.8424,-22.4338,IC,"Grindavik, Suðes, Iceland",https://www.nzherald.co.nz/travel/is-it-safe-to-travel-to-iceland-latest-advice-following-second-eruption/UJZNCG63BFBFBCBOFCAPHTWAJM/
1151610382,20240115,202401,2024,ISLCVL,ICELAND,ISL,,,,174,-5.0,18,18,-4.93516655488486,63.8424,-22.4338,,,63.8424,-22.4338,IC,"Grindavik, Suðes, Iceland",https://www.nzherald.co.nz/travel/is-it-safe-to-travel-to-iceland-latest-advice-following-second-eruption/UJZNCG63BFBFBCBOFCAPHTWAJM/
1151610639,20240115,202401,2024,MED,SPOKESMAN,,USA,ATLANTA,USA,010,0.0,1,1,-3.4794711203897,62,10,62,10,62,10,NO,Norway,https://www.dailymail.co.uk/news/article-12963015/You-expect-black-women-perfect-save-world-Atlanta-DA-Fani-Willis-DEFENDS-having-affair-colleague-prosecuted-Trump-election-interference-case.html
1151610675,20240115,202401,2024,MIL,FRIGATE,,RUS,RUSSIA,RUS,042,1.9,2,2,-1.20051917448422,45.0211,39.5846,69.0689,33.4162,69.0689,33.4162,RS,"Severomorsk, Murmanskaya Oblast', Russia",https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment-january-14-2024
1151610700,20240115,202401,2024,MNCUSA,BOEING,USA,USA,AMERICAN,USA,120,-4.0,70,70,-1.82418702550288,61.385,-152.268,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://www.fox35orlando.com/news/cockpit-window-crack-forces-ana-boeing-flight-in-japan-to-turn-around
1151610805,20240115,202401,2024,POL,POLAND,POL,CAN,CANADA,CAN,031,5.2,6,6,0.15671251958907,50.0372,22.0049,60,-96,54,-4,UK,United Kingdom,https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151610806,20240115,202401,2024,POL,POLAND,POL,CAN,CANADA,CAN,031,5.2,2,2,0.15671251958907,60,-96,50.0372,22.0049,54,-4,UK,United Kingdom,https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151610821,20240115,202401,2024,POL,POLAND,POL,USA,THE US,USA,031,5.2,2,2,0.15671251958907,60,-96,54,-4,54,-4,UK,United Kingdom,https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151610840,20240115,202401,2024,PRK,NORTH KOREAN,PRK,RUS,RUSSIAN,RUS,036,4.0,44,44,-1.30487719731162,39.0194,125.755,60,100,39.0194,125.755,KN,"Pyongyang, P'yongyang-si, North Korea",https://www.gowatertown.net/syndicated-article/?id=1543723
1151610842,20240115,202401,2024,PRK,PYONGYANG,PRK,RUS,RUSSIA,RUS,042,1.9,426,426,-1.77365973256312,39.0194,125.755,60,100,39.0194,125.755,KN,"Pyongyang, P'yongyang-si, North Korea",https://www.clickondetroit.com/news/world/2024/01/14/north-korea-says-it-tested-solid-fuel-missile-tipped-with-hypersonic-weapon/
1151610843,20240115,202401,2024,PRK,NORTH KOREAN,PRK,RUS,RUSSIAN,RUS,042,1.9,56,56,-1.43709006622789,39.0194,125.755,60,100,60,100,RS,Russia,https://www.gowatertown.net/syndicated-article/?id=1543723
1151610853,20240115,202401,2024,PRKGOV,NORTH KOREAN,PRK,RUSGOV,RUSSIAN,RUS,036,4.0,44,44,-1.30487719731162,39.0194,125.755,60,100,39.0194,125.755,KN,"Pyongyang, P'yongyang-si, North Korea",https://www.gowatertown.net/syndicated-article/?id=1543723
1151610854,20240115,202401,2024,PRKGOV,NORTH KOREA,PRK,RUSGOV,RUSSIA,RUS,036,4.0,22,22,-1.30487719731162,60,100,60,100,39.0194,125.755,KN,"Pyongyang, P'yongyang-si, North Korea",https://www.gowatertown.net/syndicated-article/?id=1543723
1151610855,20240115,202401,2024,PRKGOV,NORTH KOREAN,PRK,RUSGOV,RUSSIAN,RUS,042,1.9,50,50,-1.27891888782263,39.0194,125.755,60,100,60,100,RS,Russia,https://www.gowatertown.net/syndicated-article/?id=1543723
1151610856,20240115,202401,2024,PRKGOV,NORTH KOREA,PRK,RUSGOV,RUSSIA,RUS,042,1.9,22,22,-1.30487719731162,60,100,60,100,60,100,RS,Russia,https://www.gowatertown.net/syndicated-article/?id=1543723
1151610950,20240115,202401,2024,RUS,RUSSIAN,RUS,,,,120,-4.0,1,1,-1.23230204509701,45.0211,39.5846,,,69.0689,33.4162,RS,"Severomorsk, Murmanskaya Oblast', Russia",https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment-january-14-2024
1151610958,20240115,202401,2024,RUS,RUSSIAN,RUS,,,,190,-10.0,3,3,-1.20051917448422,62.15,152.2,,,62.15,152.2,RS,"Kinzhal, Magadanskaya Oblast', Russia",https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment-january-14-2024
1151610988,20240115,202401,2024,RUS,RUSSIA,RUS,MIL,FRIGATE,,043,2.8,2,2,-1.20051917448422,69.0689,33.4162,45.0211,39.5846,69.0689,33.4162,RS,"Severomorsk, Murmanskaya Oblast', Russia",https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment-january-14-2024
1151610990,20240115,202401,2024,RUS,RUSSIAN,RUS,PRK,NORTH KOREAN,PRK,036,4.0,45,45,-1.27891888782263,60,100,39.0194,125.755,39.0194,125.755,KN,"Pyongyang, P'yongyang-si, North Korea",https://www.gowatertown.net/syndicated-article/?id=1543723
1151610994,20240115,202401,2024,RUS,RUSSIA,RUS,PRK,PYONGYANG,PRK,043,2.8,426,426,-1.77365973256312,60,100,39.0194,125.755,39.0194,125.755,KN,"Pyongyang, P'yongyang-si, North Korea",https://www.clickondetroit.com/news/world/2024/01/14/north-korea-says-it-tested-solid-fuel-missile-tipped-with-hypersonic-weapon/
1151610995,20240115,202401,2024,RUS,RUSSIAN,RUS,PRK,NORTH KOREAN,PRK,043,2.8,56,56,-1.43709006622789,60,100,39.0194,125.755,60,100,RS,Russia,https://www.gowatertown.net/syndicated-article/?id=1543723
1151611005,20240115,202401,2024,RUS,RUSSIAN,RUS,UKR,UKRAINE,UKR,010,0.0,2,2,-6.06741573033707,60,100,50.4333,30.5167,50.4333,30.5167,UP,"Kyiv, Kyyiv, Misto, Ukraine",https://www.windaction.org/posts/55226
1151611026,20240115,202401,2024,RUS,RUSSIA,RUS,UKR,UKRAINE,UKR,190,-10.0,28,16,-1.20051917448422,62.15,152.2,47.4293,35.9828,47.4293,35.9828,UP,"Verbove, Zaporiz'ka Oblast', Ukraine",https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment-january-14-2024
1151611027,20240115,202401,2024,RUS,RUSSIA,RUS,UKR,UKRAINE,UKR,190,-10.0,4,4,-1.20051917448422,62.15,152.2,47.4293,35.9828,62.15,152.2,RS,"Kinzhal, Magadanskaya Oblast', Russia",https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment-january-14-2024
1151611028,20240115,202401,2024,RUS,RUSSIA,RUS,UKR,UKRAINE,UKR,190,-10.0,8,4,-1.20051917448422,62.15,152.2,62.15,152.2,62.15,152.2,RS,"Kinzhal, Magadanskaya Oblast', Russia",https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment-january-14-2024
1151611040,20240115,202401,2024,RUS,RUSSIA,RUS,UKR,UKRAINE,UKR,192,-9.5,18,18,-2.44755244755245,61.3689,43.8939,61.3689,43.8939,61.3689,43.8939,RS,"Yamnaya, Arkhangel'skaya Oblast', Russia",https://oanow.com/life-entertainment/nation-world/wellness/multiple-sclerosis-ms-ancient-dna-europeans/article_33299b84-3cad-56d3-a16e-8f249edbe44c.html
1151611044,20240115,202401,2024,RUSGOV,RUSSIAN,RUS,PRKGOV,NORTH KOREAN,PRK,036,4.0,44,44,-1.30487719731162,60,100,39.0194,125.755,39.0194,125.755,KN,"Pyongyang, P'yongyang-si, North Korea",https://www.gowatertown.net/syndicated-article/?id=1543723
1151611045,20240115,202401,2024,RUSGOV,RUSSIA,RUS,PRKGOV,NORTH KOREA,PRK,036,4.0,22,22,-1.30487719731162,60,100,60,100,39.0194,125.755,KN,"Pyongyang, P'yongyang-si, North Korea",https://www.gowatertown.net/syndicated-article/?id=1543723
1151611046,20240115,202401,2024,RUSGOV,RUSSIAN,RUS,PRKGOV,NORTH KOREAN,PRK,043,2.8,50,50,-1.27891888782263,60,100,39.0194,125.755,60,100,RS,Russia,https://www.gowatertown.net/syndicated-article/?id=1543723
1151611047,20240115,202401,2024,RUSGOV,RUSSIA,RUS,PRKGOV,NORTH KOREA,PRK,043,2.8,22,22,-1.30487719731162,60,100,60,100,60,100,RS,Russia,https://www.gowatertown.net/syndicated-article/?id=1543723
1151611054,20240115,202401,2024,RUSUAF,RUSSIAN,RUS,UKR,UKRAINE,UKR,010,0.0,6,6,-6.06741573033707,60,100,50.4333,30.5167,60,100,RS,Russia,https://www.windaction.org/posts/55226
1151611218,20240115,202401,2024,USA,UNITED STATES,USA,,,,010,0.0,55,37,-1.20423034706979,61.385,-152.268,,,61.385,-152.268,US,"Alaska, United States",https://www.dailymail.co.uk/news/article-12962801/FAA-recruit-workers-severe-intellectual-psychiatric-disabilities.html
1151611234,20240115,202401,2024,USA,UNITED STATES,USA,,,,020,3.0,133,127,-0.273173239346365,61.385,-152.268,,,61.385,-152.268,US,"Alaska, United States",https://www.dailymail.co.uk/news/article-12962801/FAA-recruit-workers-severe-intellectual-psychiatric-disabilities.html
1151611284,20240115,202401,2024,USA,UNITED STATES,USA,,,,070,7.0,18,18,-6.20324828887645,61.385,-152.268,,,61.385,-152.268,US,"Alaska, United States",https://www.wicz.com/story/50328214/winter-weather-conditions-impact-flights-nationwide-for-third-consecutive-day
1151611329,20240115,202401,2024,USA,ALASKA,USA,BUS,AIRLINE,,160,-4.0,97,97,-6.30515466419805,61.385,-152.268,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://www.wicz.com/story/50328214/winter-weather-conditions-impact-flights-nationwide-for-third-consecutive-day
1151611332,20240115,202401,2024,USA,THE US,USA,CAN,CANADA,CAN,031,5.2,6,6,0.15671251958907,54,-4,60,-96,54,-4,UK,United Kingdom,https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151611375,20240115,202401,2024,USA,UNITED STATES,USA,GOV,PRESIDENT,,020,3.0,76,76,0.202300248920456,61.385,-152.268,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://coast1009.com/us-news/after-alaska-airlines-scare-experts-and-a-parent-weigh-in-on-babies-in-laps-mid-flight/
1151611385,20240115,202401,2024,USA,UNITED STATES,USA,HLH,CAREGIVER,,042,1.9,144,144,0.193325421236742,61.385,-152.268,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://coast1009.com/us-news/after-alaska-airlines-scare-experts-and-a-parent-weigh-in-on-babies-in-laps-mid-flight/
1151611442,20240115,202401,2024,USA,THE US,USA,POL,POLAND,POL,031,5.2,2,2,0.15671251958907,54,-4,60,-96,54,-4,UK,United Kingdom,https://www.criticalthreats.org/analysis/ukraines-long-term-path-to-success-jumpstarting-a-self-sufficient-defense-industrial-base-with-us-and-eu-support
1151611454,20240115,202401,2024,USA,ALASKA,USA,USABUS,UNITED STATES,USA,160,-4.0,68,68,-4.00952138413538,61.385,-152.268,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://www.wicz.com/story/50328214/winter-weather-conditions-impact-flights-nationwide-for-third-consecutive-day
1151611468,20240115,202401,2024,USABUS,ALASKA,USA,,,,160,-4.0,96,96,-5.82689471193652,61.385,-152.268,,,61.385,-152.268,US,"Alaska, United States",https://www.wicz.com/story/50328214/winter-weather-conditions-impact-flights-nationwide-for-third-consecutive-day
1151611469,20240115,202401,2024,USABUS,UNITED STATES,USA,USA,ALASKA,USA,014,0.0,72,72,0.193325421236742,61.385,-152.268,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://coast1009.com/us-news/after-alaska-airlines-scare-experts-and-a-parent-weigh-in-on-babies-in-laps-mid-flight/
1151611941,20230115,202301,2023,RUS,RUSSIA,RUS,USAMED,REUTERS,USA,043,2.8,5,5,-4.42477876106195,60,100,60,100,60,100,RS,Russia,https://www.hellenicshippingnews.com/russias-sibur-raised-lpg-exports-via-baltic-sea-ahead-of-sanctions/
